timestamp,encoding,decodedData
1741699593069,base64+zstd,"6458407561187064124"
1741699593075,base64,"6458407561187064124"
1741699593372,jsonParsed,"6458407561187064124"
1741699593364,base64,"6458407561187064124"
1741699593363,base64+zstd,"6458407561187064124"
1741699593653,jsonParsed,"6458407561187064124"
1741699593647,base64,"6458407561187064124"
1741699593646,base64+zstd,"6458407561187064124"
1741699593940,jsonParsed,"6458407561187064124"
1741699593930,base64,"6458407561187064124"
1741699593930,base64+zstd,"6458407561187064124"
1741699594218,base64,"6458407561187064124"
1741699594225,base64+zstd,"6458407561187064124"
1741699594235,jsonParsed,"6458407561187064124"
1741699594506,base64+zstd,"6458407561187064124"
1741699594510,jsonParsed,"6458407561187064124"
1741699594514,base64,"6458407561187064124"
1741699594789,base64,"6458407561187064124"
1741699594794,base64+zstd,"6458407561187064124"
1741699594798,jsonParsed,"6458407561187064124"
1741699595077,base64,"6458407561187064124"
1741699595084,base64+zstd,"6458407561187064124"
1741699595094,jsonParsed,"6458407561187064124"
1741699595368,base64+zstd,"6458407561187064124"
1741699595377,base64,"6458407561187064124"
1741699595373,jsonParsed,"6458407561187064124"
1741699595686,jsonParsed,"6458407561187064124"
1741699595693,base64,"6458407561187064124"
1741699595683,base64+zstd,"6458407561187064124"
1741699595974,jsonParsed,"6458407561187064124"
1741699595973,base64,"6458407561187064124"
1741699595973,base64+zstd,"6458407561187064124"
1741699596255,base64,"6458407561187064124"
1741699596262,base64+zstd,"6458407561187064124"
1741699596251,jsonParsed,"6458407561187064124"
1741699596563,base64,"6459091789271479432"
1741699596537,base64+zstd,"6459091789271479432"
1741699596547,jsonParsed,"6459091789271479432"
1741699596838,base64+zstd,"6459264237608789680"
1741699596855,jsonParsed,"6459264237608789680"
1741699596843,base64,"6459264237608789680"
1741699597133,base64,"6459264237608789680"
1741699597134,base64+zstd,"6459264237608789680"
1741699597130,jsonParsed,"6459264237608789680"
1741699597407,base64+zstd,"6459264237608789680"
1741699597424,base64,"6459264237608789680"
1741699597413,jsonParsed,"6459264237608789680"
1741699597704,base64+zstd,"6459264237608789680"
1741699597704,jsonParsed,"6459264237608789680"
1741699597704,base64,"6459264237608789680"
1741699597995,base64+zstd,"6459264237608789680"
1741699597992,jsonParsed,"6459264237608789680"
1741699597993,base64,"6459264237608789680"
1741699598274,base64,"6459264237608789680"
1741699598270,jsonParsed,"6459264237608789680"
1741699598270,base64+zstd,"6459264237608789680"
1741699598554,jsonParsed,"6459264237608789680"
1741699598560,base64,"6459264237608789680"
1741699598551,base64+zstd,"6459264237608789680"
1741699598844,jsonParsed,"6458730925607557524"
1741699598844,base64+zstd,"6458730925607557524"
1741699598835,base64,"6458730925607557524"
1741699599119,jsonParsed,"6459618921272795689"
1741699599118,base64+zstd,"6459618921272795689"
1741699599123,base64,"6459618921272795689"
1741699599400,base64+zstd,"6459618921272795689"
1741699599407,base64,"6459618921272795689"
1741699599398,jsonParsed,"6459618921272795689"
1741699599681,base64+zstd,"6459618921272795689"
1741699599695,jsonParsed,"6459618921272795689"
1741699599686,base64,"6459618921272795689"
1741699599985,jsonParsed,"6460699179819485584"
1741699599985,base64,"6460699179819485584"
1741699599985,base64+zstd,"6460699179819485584"
1741699600261,jsonParsed,"6460867653199709139"
1741699600264,base64,"6460867653199709139"
1741699600261,base64+zstd,"6460867653199709139"
1741699600541,base64+zstd,"6460867653199709139"
1741699600569,base64,"6460867653199709139"
1741699600569,jsonParsed,"6460867653199709139"
1741699600860,base64,"6460839071600470837"
1741699600855,jsonParsed,"6460839071600470837"
1741699600850,base64+zstd,"6460839071600470837"
1741699601136,jsonParsed,"6461350277078275072"
1741699601138,base64+zstd,"6461350277078275072"
1741699601136,base64,"6461350277078275072"
1741699601418,jsonParsed,"6461350277078275072"
1741699601418,base64+zstd,"6461350277078275072"
1741699601421,base64,"6461350277078275072"
1741699601695,base64+zstd,"6461290069425081553"
1741699601703,base64,"6461290069425081553"
1741699601703,jsonParsed,"6461290069425081553"
1741699601972,base64+zstd,"6461419296521792993"
1741699601985,base64,"6461419296521792993"
